time,FMIDPRICE,f2,f3,f4,f5,f6,f7,f8,f9,f10
2017-09-01 08:53:29.867601,10569.5,-134.0,-0.957142857143,-2.17229044847,-2.00831078147,0.0,-45.0,-125.0,-0.496543315433,-6.54524486842
2017-09-01 08:53:30.742480,10570.5,80.0,-0.821428571429,-1.74224301313,-1.43782399451,0.0,18.0,-25.0,0.0,-0.44867870517
2017-09-01 08:53:32.367353,10569.5,-12.0,0.923076923077,-0.642485946517,0.777921896263,0.0,-7.0,-20.0,0.0,-0.845493058108
2017-09-01 08:53:32.867491,10570.5,4.0,-0.968253968254,-0.756034382958,0.607883247064,0.0,0.0,-19.0,0.0,-1.04945705787
2017-09-01 08:53:33.367446,10569.5,5.0,0.957446808511,-0.687618751374,0.473755603904,0.0,-9.0,-8.0,0.0,0.0
2017-09-01 08:53:34.617484,10570.5,83.0,0.978260869565,1.10840772292,0.452054413148,0.0,0.0,24.0,0.0,2.83825575676
2017-09-01 08:53:35.367349,10569.5,-58.0,0.936170212766,0.396447388572,0.860044925761,0.0,-2.0,-3.0,0.0,0.0
2017-09-01 08:53:37.242502,10570.5,21.0,0.982456140351,-0.581806821806,-1.45970475999,0.0,-2.0,-26.0,0.0,-0.66717125863
2017-09-01 08:53:37.367461,10569.5,-45.0,0.78313253012,-0.800369394468,-1.3909084331,0.0,-1.0,0.0,0.0,0.0
2017-09-01 08:53:39.867475,10568.5,-56.0,-0.963636363636,-0.581579682613,-0.696136275741,0.0,-22.0,-9.0,-0.466151264992,-0.0769610411361
2017-09-01 08:53:40.492485,10569.5,5.0,-0.951219512195,0.476275378745,-0.428853940743,0.0,-11.0,2.0,0.0,0.786169574438
2017-09-01 08:53:40.992480,10568.5,2.0,0.981651376147,0.344320113617,-0.371215973832,0.0,-5.0,0.0,0.0,0.0
2017-09-01 08:53:41.367488,10569.5,1.0,0.981308411215,-0.482451483308,-0.63096174838,0.0,-2.0,-1.0,0.0,0.0
2017-09-01 08:53:41.992488,10568.5,5.0,0.981132075472,0.236048106473,-0.493142018804,0.0,-5.0,0.0,0.0,0.0
2017-09-01 08:53:42.617504,10569.5,-3.0,0.980582524272,-0.594055911586,-0.676731822768,0.0,-7.0,5.0,0.0,1.38815868299
2017-09-01 08:53:45.367492,10568.5,77.0,-0.962962962963,-1.30980487241,1.94255404197,0.0,-17.0,-7.0,0.0,-0.670013058377
2017-09-01 08:53:46.742630,10567.5,-74.0,0.942307692308,-2.85185585795,-1.3226351082,0.0,-18.0,-80.0,-0.793300797149,-4.24815927322
2017-09-01 08:53:46.992553,10566.5,-26.0,0.981651376147,-1.49132583864,-0.61241231652,0.0,-13.0,-3.0,0.0,0.0
2017-09-01 08:53:48.617490,10565.5,-80.0,0.981651376147,-1.40609178622,-1.18122828149,0.0,-31.0,-51.0,0.0,-2.27700787347
2017-09-01 08:53:51.492448,10566.5,5.0,0.981818181818,-0.722560088787,-0.705155968109,0.0,-39.0,-8.0,-0.407882356868,0.762481438435
2017-09-01 08:53:51.867491,10565.5,-2.0,0.9375,-0.332456864932,-0.781206643423,0.0,-4.0,-5.0,0.0,0.0
2017-09-01 08:53:58.992515,10564.5,-37.0,0.984,0.888676689846,-0.969482266562,0.0,-38.0,-33.0,0.0,-0.179410620896
2017-09-01 08:53:59.242452,10565.5,16.0,0.984,0.372554487276,-0.514094540527,0.0,2.0,4.0,0.0,0.230883123408
2017-09-01 08:54:00.867550,10566.5,177.0,-0.964285714286,1.42708929498,1.39920608207,0.0,33.0,36.0,0.742100025591,0.230883123408
2017-09-01 08:54:01.492564,10565.5,-74.0,-0.962264150943,-0.945262366191,-0.849790814565,0.0,-2.0,-16.0,0.0,0.0
2017-09-01 08:54:04.492509,10566.5,54.0,0.953488372093,-1.15747834401,1.4820051296,0.0,19.0,3.0,0.0,0.0316272704734
2017-09-01 08:54:45.742517,10567.5,53.0,0.904,0.696796271112,1.4999970691,0.0,8.0,-11.0,0.440466916396,-0.776016749787
2017-09-01 08:54:50.617544,10566.5,37.0,0.985185185185,-0.618109003541,0.900208332709,0.0,-28.0,-24.0,-0.153922082272,-0.960169350584
2017-09-01 08:54:55.492434,10567.5,6.0,0.985185185185,-0.544649428408,0.703586145849,0.0,2.0,-17.0,0.0,-0.233075632496
2017-09-01 08:54:59.242438,10566.5,3.0,0.985507246377,-0.548231112328,0.551075469109,1.0,-6.0,-5.0,0.0,0.0
2017-09-01 08:55:01.242539,10565.5,-83.0,0.985401459854,-0.763457610356,-1.27522800647,1.0,-40.0,-39.0,-0.5384896593,-0.827435699644
2017-09-01 08:55:03.617523,10564.5,-69.0,0.983870967742,-1.60753529854,-1.32510460734,0.0,-64.0,-94.0,-0.448161548835,-2.04934262424
2017-09-01 08:55:05.367631,10563.5,-66.0,0.983870967742,-1.85610566484,-1.43458425719,0.0,-17.0,-75.0,0.0,-3.55372877531
2017-09-01 08:55:07.367574,10562.5,-98.0,0.983870967742,-1.09597086822,-1.25496951728,0.0,-27.0,-49.0,0.0,-1.60521047349
2017-09-01 08:55:15.117580,10561.5,-72.0,0.983739837398,-1.04189508877,1.47387052711,0.0,-61.0,-49.0,0.217986975966,-1.28875649735
2017-09-01 08:55:16.242587,10562.5,14.0,0.98275862069,0.996273924904,-0.741627075115,0.0,3.0,18.0,0.135317296948,1.00941670986
2017-09-01 08:55:44.242620,10563.5,92.0,0.984496124031,1.11272776044,1.33191257951,0.0,-26.0,-46.0,0.460737263785,-2.32453426124
